DAY,DATE,REASON FOR CLOSURE
THURSDAY,JANUARY 1st,NEW YEARâ€™S DAY
MONDAY,FEBRUARY 16th,FAMILY DAY
MONDAY,MARCH 30th,SCOTT VACATION
TUESDAY,MARCH 31st,SCOTT VACATION
WEDNESDAY,APRIL 1st,SCOTT VACATION
FRIDAY,APRIL 3rd,GOOD FRIDAY
MONDAY,APRIL 6th,EASTER MONDAY
MONDAY,MAY 18th,VICTORIA DAY
FRIDAY,JUNE 12th,SCOTT VACATION
MONDAY,JUNE 15th,SCOTT VACATION
TUESDAY,JUNE 16th,SCOTT VACATION
WEDNESDAY,JUNE 17th,SCOTT VACATION
THURSDAY,JUNE 18th,SCOTT VACATION
FRIDAY,JUNE 19th,SCOTT VACATION
WEDNESDAY,JULY 1st,CANADA DAY
MONDAY,AUGUST 3rd,CIVIC HOLIDAY
MONDAY,SEPTEMBER 7th,LABOUR DAY
MONDAY,OCTOBER 12th,THANKSGIVING
WEDNESDAY,NOVEMBER 11th,REMEMBRANCE DAY
MONDAY,DECEMBER 21st,SCOTT VACATION
TUESDAY,DECEMBER 22nd,SCOTT VACATION
WEDNESDAY,DECEMBER 23rd,SCOTT VACATION
THURSDAY,DECEMBER 24th,SCOTT VACATION
FRIDAY,DECEMBER 25th,CHRISTMAS DAY
