SOURCE,DOMAINS,NOTABLE WORKS,RELIABILITY,NOTES and CAUTIONS
Peter Attia,"Longevity, Health, Fitness, Nutrition","Outlive, The Drive Podcast",HIGH,"Some commercial intrests, Podcasts guests of variable quality"
Brene Brown,"Empathy, Emotional Intelligence, Coaching","Daring Greatly, The Gifts of Imperfection, Rising Strong, Braving the Wilderness, Dare to Lead, Atlas of the Heart.",VERY HIGH,
Michael Bungay Stanier,"Coaching, Creativity, Emotional Intelligence","The Coaching Habit, The Advice Trap, How To Begin, How To Work With (Almost) Anyone",VERY HIGH,
International Coaching Federation,Coaching Standards,"ICF Code of Ethics, ICF Core Competencies",VERY HIGH,
Adam Grant,"Organizational Psychology, Emotional Intelligence","Think Again, Originals, Give and Take, Hidden Potential, and Option B",VERY HIGH,
Wendy Wood,"Habits and Behavior Change, Pschology","Good Habits, Bad Habits",VERY HIGH,
James Clear,"Habits and Behavior Change, Pschology",Atomic Habits,HIGH,Good Book but not a primary researcher
Daniel Leiberman,"Anthropology, Evolution, Human Movement","Exercised, The Story Of The Human Body",VERY HIGH,
David Epstein,"Mindset, Personal Development ",Range,MEDIUM,A useful book for considering different approaches to life
Rhonda Patrick,Supplementation,FoundMyFitness Platform,HIGH,Often too much focus on mechanisms over outcomes
Layne Norton,"Nutrition, Resistance Training",Instagram @biolayne,MEDIUM,"Rigorous Science, but often controversial and unpalatable. Occasionally let's opinion sway advice."
Andy Galpin,"Longevity, Performance, Resistance Training, Sleep, Aerobic Training, VO2 Max, Bioenergetics","PERFORM Podcast, Many Guest Appearances, Published Research",VERY HIGH,
Carol Dweck,"Mindset, Personal Development ",Mindset,VERY HIGH,
Simon Sinek,"Mindset, Emotional Intelligence","Start With Why, Leaders Eat Last, The Infinite Game",HIGH,
Lauren Colenso-Semple,"Women's Health, Menopause, Supplementation, Resistance Training",Instagram @laurencs. Published Research,VERY HIGH,
Rob Lustig,"Nutrition, Metabolism","Fat Chance, The Hacking of the American Mind, and Metabolical",MEDIUM,Often too much focus on mechanisms over outcomes. Some commercial exposure
Tom Dayspring,"Lipid Metabolism, Heart Health","Lipid and Lipoprotein Disorders (with William Cromwell), Many published research papers, Many guest appearances, X @drlipid",VERY HIGH,
Stuart Phillips,"Resistance Training, Women's Training","Instagram @mackinprof, Published Research",VERY HIGH,
Martin Seligman,Positive Psychology,"Flourish, Learned Optimism, Authentic Happiness, Published Research",VERY HIGH,
ISSA,"Resistance Training, Nutrition, Motivation","Certified Personal Trainer, Transformation",VERY HIGH,
Phil Maffetone,"Aerobic Training, Exercise Physiology, Nutrition","The Big Book Of Endurance Training and Racing, The Endurance Handbook, The Big Book of Health and Fitness, The Maffetone Method, The Overfat Pandemic, Published Research",VERY HIGH,The Maffetone Method  is my preferred approach for beginners looking to start running or aerobic training
Steve House,Aerobic Training ,Training For The Uphill Athlete,,